Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,65-69 years,Both,Other infectious diseases,"Deaths per 100,000",3.9337674264145277,3.6415255007361016,4.213198960159468
All Population,Brazil,2023,70-74 years,Both,Other infectious diseases,"Deaths per 100,000",5.0913509307110525,4.691591006258269,5.507203914953708
All Population,Brazil,2023,75-79 years,Both,Other infectious diseases,"Deaths per 100,000",6.651067888101792,6.010432281372525,7.160698957110225
All Population,Brazil,2023,80-84 years,Both,Other infectious diseases,"Deaths per 100,000",7.942651556091065,6.761530636712076,8.825269140902506
All Population,Brazil,2023,85-89 years,Both,Other infectious diseases,"Deaths per 100,000",10.280427582041527,8.103983780298098,11.620598239574283
All Population,Brazil,2023,90-94 years,Both,Other infectious diseases,"Deaths per 100,000",13.660328270480573,10.35979775134214,15.721023926312062
All Population,Brazil,2023,95+ years,Both,Other infectious diseases,"Deaths per 100,000",18.59530993531662,12.753449972784583,22.601091499427582
All Population,Brazil,2023,0-6 days,Both,Maternal and neonatal disorders,"Deaths per 100,000",22987.702202904547,21206.011111293505,24791.927755118486
All Population,Brazil,2023,7-27 days,Both,Maternal and neonatal disorders,"Deaths per 100,000",2436.968984087079,2147.883187785021,2714.2468142913685
All Population,Brazil,2023,1-5 months,Both,Maternal and neonatal disorders,"Deaths per 100,000",184.82018819650844,160.5949470872776,209.41358322645038
All Population,Brazil,2023,6-11 months,Both,Maternal and neonatal disorders,"Deaths per 100,000",27.729742866827234,23.219593093242676,33.65371362932943
All Population,Brazil,2023,12-23 months,Both,Maternal and neonatal disorders,"Deaths per 100,000",1.7445725746176788,1.4318061024234785,2.122892368311516
All Population,Brazil,2023,2-4 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.5057612634721863,0.41935922750219295,0.6152915331977431
All Population,Brazil,2023,5-9 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,10-14 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.06232722442108961,0.0503502999814472,0.07484513978985895
All Population,Brazil,2023,15-19 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.9836267611089808,0.837320682550429,1.1302710889289094
All Population,Brazil,2023,20-24 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",1.834463233105605,1.6192524734266005,2.0308614366627182
All Population,Brazil,2023,25-29 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",2.4020123545581478,2.1329945421444636,2.700730679984356
All Population,Brazil,2023,30-34 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",2.212490298070885,2.0056908093839443,2.469760633825284
All Population,Brazil,2023,35-39 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",2.247403120223615,2.0457728035441387,2.4603072228324576
All Population,Brazil,2023,40-44 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",1.0855049014409708,0.9883595319543843,1.2012508807678068
All Population,Brazil,2023,45-49 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.36107989945773383,0.3307109617320523,0.3948086424705664
All Population,Brazil,2023,50-54 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.04714032565076216,0.04266665306278059,0.05186208811755231
All Population,Brazil,2023,55-59 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
