population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,2,Percent,1990,0.01576099735624695,0.01784876847235518,0.013935943163479856
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,9.110976081891305,10.30937219911857,8.063223357409836
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1990,11.508944431329544,12.954053008211588,10.168406527078728
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,1,Number,1990,4265.991873536926,4486.313623617319,4018.5601790530927
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,2,Percent,1990,0.004941834638717456,0.005215043619938402,0.004656063781373421
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,973,Substance use disorders,3,Rate,1990,2.8567330795767143,3.0042721397210217,2.6910397713094296
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,1990,3.632070780616616,3.8190650221459843,3.4264818998568143
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,1,Number,1990,40385.74116330767,42768.55879793765,37736.997983489266
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,2,Percent,1990,0.0467842405820478,0.049622486041296675,0.04368817821515762
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1990,27.044421589296128,28.640081909624534,25.270683503195006
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,1990,48.343762181354414,51.58234099687408,44.67058306627877
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,1,Number,1990,22399.014301726587,47399.084563105345,10097.612448595186
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,2,Percent,1990,0.02594447018931976,0.05483255918320622,0.01173148765758158
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,542,Neurological disorders,3,Rate,1990,14.999560946796155,31.740926102799094,6.761893684230385
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,1990,35.83418286898887,78.1658125578948,14.147438760660453
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,1,Number,1990,2.6126742784843815,3.700533105984879,0.6528768030701944
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,2,Percent,1990,3.026425085443247e-06,4.277059723788838e-06,7.568126336678116e-07
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,558,Mental disorders,3,Rate,1990,0.0017495844480635188,0.0024780720754563955,0.00043720072975023496
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,1990,0.0017531550889547996,0.002466676535344739,0.0004389001131467551
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,1,Number,1991,112680.91421093966,116672.28887828438,108118.09978236892
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,2,Percent,1991,0.13228363768267665,0.13692576153494482,0.1263977144039588
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,410,Neoplasms,3,Rate,1991,74.25304890632435,76.8832346875916,71.2463029521612
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,1991,121.90313275302813,126.96562927356074,115.91024362207979
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,1991,1361.2722047571153,1471.0925367299853,1258.9841013323519
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,2,Percent,1991,0.001598082783295115,0.0017262916400471126,0.0014713000794071016
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1991,0.8970340035174904,0.9694020219879914,0.8296294780987856
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1991,1.2317590566080365,1.3334963705923548,1.1284371243503446
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,1991,21941.397395674903,23108.607253156068,20591.163744106812
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,2,Percent,1991,0.025758307366388948,0.02724981135127441,0.024169242012479098
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1991,14.458665562867536,15.227818806239782,13.568905606029032
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1991,16.914679310353968,17.730169138804015,15.988577490159065
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1991,9110.017987027624,9546.117745656959,8710.992005326993
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,1991,0.010694739482358325,0.011205493878670739,0.010261481382360747
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,6.003204853857882,6.290580377319833,5.740259740733882
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,6.267071431190952,6.553475158965131,5.996891087380596
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1991,59157.12183320362,63549.00561312571,54728.75866403958
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,1991,0.06944867279254335,0.07474755513267363,0.06411992316263448
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1991,38.982614681447075,41.87672291073393,36.06446772392994
1,All Population,1,Deaths,135,Brazil,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1991,56.29963338012489,60.95306546462749,51.5311206931959
